Productname,price,Ratinf,Delivery,Savings
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"Acer Swift 3 SF314-511 Intel EVO Thin and Light Laptop | 14"" Full HD IPS | Intel Core i5-1135G7 Processor |8G| 512GB SSD| WiFi 6| Backlit Keyboard | Fingerprint Reader | Windows 11 | MS Office 2021","60,990",4.8 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹89,999₹89,999  Save ₹29,009 (32%)"
HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),"56,750",4.1 out of 5 stars,"Saturday, February 19","₹56,750₹56,750 ₹63,999₹63,999  Save ₹7,249 (11%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0002TU","27,390",3.8 out of 5 stars,"Tomorrow, February 15","₹27,390₹27,390 ₹29,741.50₹29,741.50  Save ₹2,351.50 (8%)"
"HP Victus AMD Ryzen 5 5600H 16.1 inches FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10 Home/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black","59,990",4.4 out of 5 stars,"Tomorrow, February 15","₹59,990₹59,990 ₹73,682₹73,682  Save ₹13,692 (19%)"
"Acer Aspire 5 A514-54 Thin and Light Laptop | 14"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 Processor | 8GB DDR4 |1TB HDD | WiFi 6| Win 11 Home | HD Webcam | Pure Silver | 1.45kg","46,990",4.1 out of 5 stars,"Tomorrow, February 15","₹46,990₹46,990 ₹66,999₹66,999  Save ₹20,009 (30%)"
"HP 15 Ryzen 3 3250U- 8GB RAM/256GB SSD Thin & Light 15.6 inch(39.6cm) FHD Laptop/Windows 11 Ready /Radeon Graphics/MS Office/1.69 kg), 15s-gy0501AU","39,490",4.2 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹46,055₹46,055  Save ₹6,565 (14%)"
